Artikelnummer;Bezeichnung;Netto;EAN
F524100;GIOTTO Decor Materials Schoolbox weiß V40;21,420.00;8000825007279
F524300;GIOTTO Cera Schoolpack mit 144 Stiften (12 x 12 Farben);18,510.00;8000825005879
F524500;GIOTTO Decor Metal Schoolbox V24;16,220.00;8000825524509
F524600;GIOTTO Decor Materials Schoolbox V48;25,810.00;8000825524608
F524700;GIOTTO Cera Maxi Schulbox E96;17,060.00;8000825005893
F524800;GIOTTO Cera Strong Schoolpack mit 144 Stiften (12 x 12 Farben);22,390.00;8000825005831
F524900;GIOTTO Robercolor Whiteboard Marker Medium, Schoolpack 60 Stifte;23,000.00;8000825007828
F525000;GIOTTO Turbo Color, 288er Maxipack;28,800.00;8000825008160
F525100;GIOTTO Turbo Color, 144er Aufsteller;28,850.00;8000825008184
F525200;GIOTTO Stilnovo, 288er Maxipack;43,590.00;8000825008122
F525300;GIOTTO be-bè Fasermaler, Schoolpack mit 72 Stiften;25,590.00;8000825008146
F525400;GIOTTO be-bè Buntstifte, Schoolpack mit 72 Stiften und drei Anspitzern;50,870.00;8000825008092
F525500;GIOTTO Elios Giant Woodfree Farbstift Schoolbox E144;33,150.00;8000825012679
F525600;GIOTTO Mega tri Farbstift Schulbox E144;56,050.00;8000825012655
F525700;GIOTTO Elios Woodfree Farbstift Schoolbox E288;27,540.00;8000825012709
F525900;GIOTTO Turbo Color Schoolpack E144;15,290.00;8000825020322
F526000;GIOTTO Turbo Maxi C48;9,100.00;8000825020162
F526100;GIOTTO Turbo Maxi Schoolbox E108;22,500.00;8000825020261
F526200;GIOTTO Turbo Maxi Schoolbox E288;56,000.00;8000825020292
F530000;GIOTTO Malzubehör Spender BL06;4,390.00;8000825530005
