Artikelnummer;Bezeichnung;EAN;Netto
19-100014;"Kissen Velours ""Wappen""";4061194021055;8.76
19-100013;"Kissen ""Mittig""";4061194021048;8.76
19-100012;"Bettwäsche ""Mittig""";4061194021031;26.36
19-100011;"Bettwäsche ""Spiel SCF""";4061194021024;26.36
19-100010;"Polo-Shirt ""Greif"" XXL";4060452008937;20.98
19-100010;"Polo-Shirt ""Greif"" XL";4060452008920;20.98
19-100010;"Polo-Shirt ""Greif"" S";4060452008890;20.98
19-100010;"Polo-Shirt ""Greif"" M";4060452008906;20.98
19-100010;"Polo-Shirt ""Greif"" L";4060452008913;20.98
19-100010;"Polo-Shirt ""Greif"" 3XL";4060452008944;20.98
19-100009;"T-Shirt ""Heimatliebe"" XXL";4060452015461;12.33
19-100009;"T-Shirt ""Heimatliebe"" XL";4060452015454;12.33
19-100009;"T-Shirt ""Heimatliebe"" S";4060452015423;12.33
19-100009;"T-Shirt ""Heimatliebe"" M";4060452015430;12.33
19-100009;"T-Shirt ""Heimatliebe"" L";4060452015447;12.33
19-100009;"T-Shirt ""Heimatliebe"" 3XL";4060452015478;12.33
19-100008;"T-Shirt ""SCF Mesh"" XXL";4060452008869;12.33
19-100008;"T-Shirt ""SCF Mesh"" XL";4060452008852;12.33
19-100008;"T-Shirt ""SCF Mesh"" S";4060452008821;12.33
19-100008;"T-Shirt ""SCF Mesh"" M";4060452008838;12.33
19-100008;"T-Shirt ""SCF Mesh"" L";4060452008845;12.33
19-100008;"T-Shirt ""SCF Mesh"" 3XL";4060452008876;12.33
19-100007;"T-Shirt ""SC Greif Allover"" (w) XXL";4060452008791;14.78
19-100007;"T-Shirt ""SC Greif Allover"" (w) XS";4060452008746;14.78
19-100007;"T-Shirt ""SC Greif Allover"" (w) XL";4060452008784;14.78
19-100007;"T-Shirt ""SC Greif Allover"" (w) S";4060452008753;14.78
19-100007;"T-Shirt ""SC Greif Allover"" (w) M";4060452008760;14.78
19-100007;"T-Shirt ""SC Greif Allover"" (w) L";4060452008777;14.78
19-100006;"Kinder-T-Shirt ""Allover Greif"" 98-104";4251201454512;11.14
19-100006;"Kinder-T-Shirt ""Allover Greif"" 86-92";4251201454505;11.14
19-100006;"Kinder-T-Shirt ""Allover Greif"" 74-80";4251201454499;11.14
19-100006;"Kinder-T-Shirt ""Allover Greif"" 60-68";4251201454482;11.14
19-100006;"Kinder-T-Shirt ""Allover Greif"" 50-56";4251201454475;11.14
19-100006;"Kinder-T-Shirt ""Allover Greif"" 152";4251201451733;11.14
19-100006;"Kinder-T-Shirt ""Allover Greif"" 140";4251201451726;11.14
19-100006;"Kinder-T-Shirt ""Allover Greif"" 128";4251201451719;11.14
19-100006;"Kinder-T-Shirt ""Allover Greif"" 110-116";4251201454529;11.14
19-100005;"T-Shirt ""Landschaft"" (w) XXL";4251201454468;12.08
19-100005;"T-Shirt ""Landschaft"" (w) XS";4251201459937;12.08
19-100005;"T-Shirt ""Landschaft"" (w) XL";4251201454451;12.08
19-100005;"T-Shirt ""Landschaft"" (w) S";4251201454420;12.08
19-100005;"T-Shirt ""Landschaft"" (w) M";4251201454437;12.08
19-100005;"T-Shirt ""Landschaft"" (w) L";4251201454444;12.08
19-100001;"T-Shirt ""Landschaft"" (m) XXL";4251201459760;12.33
19-100001;"T-Shirt ""Landschaft"" (m) XL";4251201459753;12.33
19-100001;"T-Shirt ""Landschaft"" (m) S";4251201459722;12.33
19-100001;"T-Shirt ""Landschaft"" (m) M";4251201459739;12.33
19-100001;"T-Shirt ""Landschaft"" (m) L";4251201459746;12.33
19-100001;"T-Shirt ""Landschaft"" (m) 4XL";4251201459784;12.33
19-100001;"T-Shirt ""Landschaft"" (m) 3XL";4251201459777;12.33
19-100000;"T-Shirt ""High density"" XXL";4251201459692;14.78
19-100000;"T-Shirt ""High density"" XL";4251201459685;14.78
19-100000;"T-Shirt ""High density"" S";4251201459654;14.78
19-100000;"T-Shirt ""High density"" M";4251201459661;14.78
19-100000;"T-Shirt ""High density"" L";4251201459678;14.78
19-100000;"T-Shirt ""High density"" 4XL";4251201459715;14.78
19-100000;"T-Shirt ""High density"" 3XL";4251201459708;14.78
18-100616;"Kissen ""Trikot 18/19""";4251201421071;13.63
18-100612;"Tasse ""Frohe Ostern 19""";4260602035152;5.91
18-100611;"Smartphone Handschuhe ""Wappen""";4260099235257;5.66
18-100610;"Gürtel ""Wappen""";4250577720849;7.07
18-100609;"Vesperbrett ""SC Freiburg""";4250577720825;8.79
18-100606;"Schneekugel ""Team 18/19""";4042332064448;5.85
