Lieferantennummer;Artikelnummer;Artikelbezeichnung;EAN-Nummer;Warengruppe;Verpackungseinheit;Rabattgruppe;Mehrwertsteuerschlüssel;Netto-/Grundnettopreis;Unverbindliche VK-Preisempfehlung
4007176;62763;Island Fohlen;4007176627631;43;6;0;1;2.33;4.99
4007176;63164;Flamingo Geschenk-Box 3 St.;4007176631645;43;6;0;1;5.69;10.99
4007176;63250;Micro Elefant;4007176632505;43;50;0;1;0.4;1
4007176;63251;Micro Tiger Orange;4007176632512;43;50;0;1;0.4;1
4007176;63252;Micro Löwe;4007176632529;43;50;0;1;0.4;1
4007176;63253;Micro Giraffe;4007176632536;43;50;0;1;0.4;1
4007176;63254;Micro Zebra;4007176632543;43;50;0;1;0.4;1
4007176;63256;Micro Flamingo;4007176632567;43;50;0;1;0.4;1
4007176;63258;Micro Schlange;4007176632581;43;50;0;1;0.4;1
4007176;63260;Micro Braunbär;4007176632604;43;50;0;1;0.4;1
4007176;63261;Micro Pelikan;4007176632611;43;50;0;1;0.4;1
4007176;63263;Micro Rhinozerus;4007176632635;43;50;0;1;0.4;1
4007176;63264;Micro Antilope;4007176632642;43;50;0;1;0.4;1
4007176;63265;Micro Scorpion;4007176632659;43;50;0;1;0.4;1
4007176;63270;Micro Panda;4007176632703;43;50;0;1;0.4;1
4007176;63286;Micro Einhorn;4007176632864;43;50;0;1;0.4;1
4007176;63537;Eisbär;4007176635377;43;3;0;1;3.78;7.99
4007176;63538;Eisbär Junges;4007176635384;43;6;0;1;1.98;3.99
4007176;63541;Kaiserpinguin;4007176635414;43;6;0;1;2.33;4.99
4007176;63542;Kaiserpinguin Junges;4007176635421;43;6;0;1;1.98;3.99
4007176;63553;Landschildkröte;4007176635537;43;3;0;1;3.78;7.99
4007176;63554;Landschildkröten Junges;4007176635544;43;6;0;1;1.98;3.99
4007176;63565;Känguruh;4007176635650;43;6;0;1;2.68;5.99
4007176;63567;Koala;4007176635674;43;6;0;1;2.68;5.99
