Artikelnummer;Artikelbezeichnung;EAN;Netto
6329129;PlayMais Mosaic Dream        ;4041077002715;4.99
6343190;Cra-Z-Loom Bracelet Maker    ;884920171022;2.5
6370037;Stiftplatte rund klein       ;28178222895;0.62
6370039;Stiftplatte Herz gross       ;28178233891;0.97
6370040;Stiftplatte Herz klein       ;28178236892;0.62
6370041;Stiftplatte Stern klein      ;28178270896;0.62
6370045;Stiftplatte Stern gross      ;28178269982;0.97
6370058;Hama Perlen Beutel 3000er    ;28178201807;2.7
6370150;Hama Perlen Beutel 3000er    ;28178201500;2.7
6370151;Hama Perlen Beutel 3000er    ;28178201517;2.7
6370154;Hama Perlen Beutel 3000er    ;28178201548;2.7
6370237;Stiftplatte Osterhase        ;28178237042;0.77
6370258;Stiftplatte Prinzessin       ;28178258061;0.87
6370264;Stiftplatte Pferd            ;28178281892;0.87
6370287;Stiftplatte Hund             ;28178287979;0.87
6370288;Stiftplatte Katze            ;28178288976;0.87
6370289;Stiftplatte Teddybär         ;28178289973;0.77
6370300;Stiftplatte Delphin          ;28178300074;0.77
6370301;Stiftplatte Pinguin          ;28178301071;0.87
6370302;Stiftplatte Eichörnchen      ;28178302016;0.87
6370304;Stiftplatte Mädchen          ;28178003043;0.99
6370305;Stiftplatte Drache           ;28178003050;0.87
6370308;Stiftplatte Pegasus          ;28178003159;0.99
6370311;Stiftplatte Auto             ;28178003111;0.77
6370313;Stiftplatte Seepferdchen     ;28178003135;0.77
6370550;Hama Perlen 6000 Stk.        ;28178205508;4.9
6370551;Hama Perlen 6000 Stk.        ;28178205515;4.9
6370554;Hama Perlen 6000 Stk.        ;28178205546;4.9
6370580;Hama Perlen 6000 Stk.        ;28178205805;4.9
6371260;Stiftplatte Ei               ;28178260064;0.77
6371314;Bügelperlen Nachtleuchten    ;28178341459;4.99
6372070;Hama Perlen Beutel 1000er    ;28178207007;0.99
6372167;Hama Perlen Beutel 3000er    ;28178201678;2.7
6372980;Stiftplatte Schmetterling    ;28178298036;0.77
6372990;Stiftplatte Blume            ;28178299033;0.77
6373067;Stiftplatte Hausfront        ;28178003067;0.99
6375067;Hama Perlen 6000 Stk.        ;28178205676;4.9
6376050;Hama Perlen Beutel 1000er    ;28178207502;0.99
6376051;Hama Perlen Beutel 1000er    ;28178207519;0.99
6376053;Hama Perlen Beutel 1000er    ;28178207533;0.99
6376054;Hama Perlen Beutel 1000er    ;28178207540;0.99
6376056;Hama Perlen Beutel 1000er    ;28178207618;1.35
6376058;Hama Perlen Beutel 1000er    ;28178207632;1.35
6376067;Hama Perlen Beutel 1000er    ;28178207670;0.99
6376070;Stiftplatte Löwe             ;28178293000;0.87
6378203;Maxi Stiftplatte Ente        ;28178820305;1.35
6378205;Maxi Stiftplatte Auto        ;28178820534;1.35
6378206;Maxi Stiftplatte Herz        ;28178820633;1.35
6378213;Stiftplatte für              ;28178821364;1.15
6378215;Maxi Stiftplatte             ;28178821579;1.35
6378218;Maxi Stiftplatte             ;28178821883;1.35
6378908;Bügelperlen Schmetterling    ;28178890889;4.6
6378918;Stiftplatte Flugzeug         ;28178089184;4.79
6822630;Bolz Lustige Trommel         ;4006942714100;9.1
